service_no,user_no,inst_no,start_date,end_date,care_service,alert_service,check_service
1,7,3,2021-07-20,2022-07-16,N,N,N
2,7,3,2020-08-24,2021-03-07,Y,Y,Y
3,8,5,2021-05-06,2021-11-17,N,N,N
4,4,9,2020-04-23,2020-05-08,Y,N,N
5,11,4,2023-03-11,2024-01-09,N,Y,N
6,10,19,2022-10-21,2023-06-22,N,Y,Y
7,7,12,2023-11-09,2024-08-27,N,Y,Y
8,11,8,2022-12-06,2023-09-13,Y,Y,Y
9,15,2,2022-09-08,2023-02-03,Y,Y,N
10,13,19,2021-05-09,2021-11-19,Y,N,N
11,15,6,2020-05-28,2020-08-28,Y,Y,N
12,3,19,2023-12-04,2024-05-27,Y,Y,Y
13,2,21,2020-11-05,2021-07-13,Y,Y,N
14,12,6,2022-02-22,2023-02-16,N,Y,N
15,9,5,2022-11-21,2023-01-08,N,Y,N
16,15,6,2022-12-28,2023-05-22,N,Y,N
17,9,9,2022-04-25,2023-04-25,N,Y,Y
18,6,23,2023-02-03,2023-05-09,Y,N,N
19,2,9,2020-08-01,2020-08-31,N,N,Y
20,7,13,2021-02-03,2021-12-24,N,Y,Y
21,9,7,2022-02-21,2022-12-04,Y,Y,N
22,14,4,2022-06-09,2023-02-16,N,Y,Y
23,12,20,2022-08-23,2023-01-23,N,N,Y
24,10,11,2020-10-10,2021-10-10,N,N,N
25,10,7,2020-01-02,2020-11-22,Y,Y,Y
26,8,19,2020-11-22,2021-02-19,Y,Y,Y
27,15,12,2022-04-26,2022-05-30,Y,N,Y
28,13,8,2022-08-22,2022-09-23,N,N,Y
29,3,23,2020-09-13,2021-02-05,N,N,N
30,15,2,2022-11-29,2023-05-20,N,N,N
31,6,17,2022-08-29,2022-09-19,Y,N,N
32,5,3,2020-02-07,2020-02-14,N,Y,N
33,13,1,2023-10-05,2024-01-14,N,N,Y
34,7,6,2020-08-25,2021-06-06,N,N,Y
35,12,18,2020-11-01,2020-11-18,N,Y,N
36,8,16,2024-02-07,2025-01-08,Y,N,N
37,3,17,2022-06-24,2022-11-21,N,N,Y
38,9,6,2023-07-21,2024-03-18,N,Y,Y
39,11,18,2023-02-06,2023-04-01,N,N,N
40,1,16,2020-12-13,2021-05-02,Y,N,N
41,15,13,2022-09-22,2022-12-23,Y,N,Y
42,9,8,2021-09-25,2021-09-28,Y,Y,Y
43,7,18,2021-05-04,2021-08-11,N,Y,N
44,4,15,2023-09-27,2023-12-30,N,Y,N
45,15,16,2022-07-30,2023-06-14,Y,N,N
46,10,7,2021-05-16,2021-11-13,Y,N,Y
47,14,9,2023-07-14,2023-07-14,N,Y,Y
48,14,18,2021-09-16,2022-09-10,N,N,N
49,14,15,2022-11-08,2023-03-12,N,N,N
50,2,19,2020-12-03,2021-09-22,N,N,Y
51,9,21,2021-04-10,2022-04-07,Y,N,Y
52,5,13,2022-10-22,2023-10-19,Y,Y,Y
53,11,11,2021-08-17,2022-05-17,N,Y,Y
54,12,12,2021-05-02,2021-07-03,Y,Y,Y
